"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Área plantada (Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Rosário (MA),12239,-,21398,-,13268,-,15048,-,15729,-,15258,-,15389,-,15752,-,16454,-,16999,-,16458,-,15665,-,16150,-,19828,-,21689,-,17177,-,13652,-,10604,-,7160,-,4628,-,3581,-
Lençóis Maranhenses (MA),22353,-,25385,-,21298,-,22702,-,23476,-,23803,-,24734,-,26287,-,29100,-,31007,-,30720,-,31301,-,25211,-,35501,-,36387,-,21558,-,15389,-,11416,-,9321,-,6971,-,6259,-
Baixada Maranhense (MA),69287,14,71086,15,71422,16,73782,17,76166,17,82173,17,81484,16,84040,14,80443,12,77562,11,80725,2,82191,-,84745,-,79733,-,72492,-,61946,-,48829,-,36926,-,33230,-,27693,-,27225,-
Itapecuru Mirim (MA),34284,-,34106,-,38195,-,41705,-,43933,-,48919,-,53264,-,56443,-,56871,-,52256,-,57852,-,59028,-,58255,-,58991,-,60811,-,43022,-,32431,-,29437,-,27656,-,11454,-,11488,-
Gurupi (MA),47859,-,49757,-,45335,-,51211,-,52860,-,55337,-,57280,-,58236,-,55248,-,44856,-,56615,-,51615,-,49613,-,47767,-,48428,-,35498,-,30197,-,25233,-,18173,-,12883,-,10700,-
Pindaré (MA),192994,-,192592,-,191070,-,214259,-,226015,-,250660,-,240837,-,245720,-,223360,-,219179,-,240762,-,236951,-,216281,-,206800,-,188925,-,154414,-,101393,-,94887,-,109604,-,101535,-,99589,-
Imperatriz (MA),42064,-,42606,-,45106,-,51439,-,54333,-,52802,3,51371,-,52241,-,41106,-,34026,-,27126,-,24825,-,18792,-,25812,-,31752,-,36637,-,41744,-,51914,-,73480,-,93779,-,105155,-
Médio Mearim (MA),76165,3,80526,-,85393,-,89012,-,89547,-,89054,-,73283,-,75396,-,76094,-,76018,-,78110,-,78707,-,75938,-,73213,-,73984,-,63768,-,42320,-,38810,-,31828,-,25392,-,25902,-
Alto Mearim e Grajaú (MA),92092,-,91562,-,96029,-,98729,-,105005,-,108676,-,112642,-,113882,-,110744,-,112690,-,109951,-,124329,-,120641,-,116823,-,117302,-,80572,-,72049,-,77340,-,79310,-,64762,-,65499,-
Presidente Dutra (MA),63666,-,64019,-,64049,-,64732,-,66939,-,67556,-,67611,-,68639,-,67311,-,60361,-,69856,5,70706,4,64568,5,60892,6,61384,5,46190,-,31229,-,29049,-,31190,-,32402,-,34774,-
Baixo Parnaíba Maranhense (MA),22246,-,22500,-,22700,-,22957,-,24326,-,26499,-,30609,-,33511,-,37707,-,42894,-,44322,-,46459,-,31794,-,46366,-,48199,-,33282,-,25248,-,24342,-,20056,-,19390,-,18507,-
Chapadinha (MA),59859,-,59024,-,66550,-,77566,-,89838,-,104404,-,124145,-,118123,-,145437,-,128755,-,131469,-,127954,-,131627,-,115804,-,116502,-,111383,-,99295,-,89246,-,89896,-,72530,-,74837,-
Codó (MA),42684,-,44865,-,51293,-,60958,-,60110,-,61613,-,56717,-,55746,-,51661,-,55681,-,52031,-,48827,-,46506,-,39294,-,35681,-,28449,-,21717,-,20753,-,18119,-,17753,-,17647,-
Coelho Neto (MA),13743,-,14213,-,14843,-,16408,-,16219,-,17576,-,20357,-,20783,-,27090,-,26247,-,27508,-,26815,-,27783,-,27089,-,25217,-,25154,-,23675,-,25441,-,25357,-,23795,-,24472,-
Caxias (MA),54917,-,58884,-,61771,-,64452,-,64611,-,58742,-,65034,-,60010,-,55602,-,60052,-,56044,-,53713,-,52886,-,47825,-,46211,-,38510,-,35367,-,39703,-,45020,-,47489,-,48709,-
Chapadas do Alto Itapecuru (MA),53118,1,59867,1,59745,1,65108,1,67510,1,65289,-,65960,-,65782,-,67833,-,59981,-,72806,2,73444,1,75430,-,77783,-,81606,-,82111,-,77940,-,85968,-,67824,-,66138,-,66579,-
Porto Franco (MA),31973,-,32079,-,30432,-,31358,-,37659,-,38810,-,38141,-,39172,-,31033,-,30409,-,33896,-,33235,-,51453,-,57089,-,65867,-,64929,-,54561,-,62474,-,57566,-,61745,-,58829,-
Gerais de Balsas (MA),177778,-,182796,-,204658,-,222786,-,255690,-,281291,-,271542,-,272040,-,290400,-,284701,-,331631,-,364661,-,433221,-,477770,-,589974,-,602436,-,563289,-,739581,-,755588,-,742897,-,741138,-
Chapadas das Mangabeiras (MA),89095,-,91422,-,99250,-,112690,-,134688,-,140006,-,140514,-,140297,-,147163,-,155843,-,191713,-,182285,-,195642,-,212644,-,234681,-,238432,-,225868,-,276777,-,284416,-,256875,-,248945,-
Baixo Parnaíba Piauiense (PI),55311,8,55966,8,57422,5,56173,5,60156,5,62940,5,58772,5,59683,5,61403,5,60469,-,60010,-,54370,-,44496,-,44045,-,44133,-,45223,-,44484,-,51902,-,44896,-,36726,-,38554,-
Litoral Piauiense (PI),40774,33,41330,13,46167,5,46075,18,50549,15,52806,-,54217,-,55658,-,52968,-,53905,-,50713,5,53551,5,53329,5,54378,-,55229,-,57400,-,55906,-,58696,-,62243,-,52531,-,52907,-
Teresina (PI),34227,16,34145,33,36169,35,36389,33,36418,37,38864,31,39027,26,41913,27,42254,27,42648,27,42460,27,45111,27,40137,19,40154,18,41282,19,39853,20,39467,18,39392,18,39169,9,33283,-,33678,-
Campo Maior (PI),58142,3,60571,3,62357,3,61421,3,64012,-,63299,-,64119,-,65778,-,66461,-,62829,-,60194,-,59579,-,60186,-,58273,-,53264,-,49648,-,48657,-,50899,-,52773,-,35580,-,36706,-
Médio Parnaíba Piauiense (PI),33860,40,33486,40,35616,40,36255,33,39407,21,40948,18,40396,19,39295,18,40274,16,41248,18,40760,18,42540,14,40391,10,39444,10,35985,10,35807,2,35929,-,36573,-,37458,-,39805,-,39961,-
Valença do Piauí (PI),37015,1,36712,-,37064,-,34275,-,39281,-,38404,-,40217,-,30635,-,37670,-,40423,-,39495,-,39609,-,26534,-,34082,-,34754,-,34646,-,35738,-,31703,-,30729,-,26775,-,27642,-
Alto Parnaíba Piauiense (PI),72422,-,89093,-,104299,-,109939,-,148053,-,183548,-,202207,-,207956,-,230265,-,254792,-,283082,-,337527,-,404230,-,462654,-,538545,-,579802,-,539617,-,622892,-,643628,-,699839,-,696029,-
Bertolínia (PI),21551,1,23984,1,24566,1,26302,1,31957,-,36002,-,38425,-,36638,-,42240,-,42488,-,50495,-,51535,-,51169,-,50031,-,51762,-,48508,-,44699,-,49016,-,63171,-,56240,-,51618,-
Floriano (PI),39263,2,37061,2,38227,2,38064,2,39134,-,39609,-,30848,-,34075,-,28369,-,32541,-,29819,-,28835,-,24373,-,26379,-,24836,-,23862,-,22623,-,26093,-,27969,-,22755,-,22178,-
Alto Médio Gurguéia (PI),47079,1,47454,1,51115,3,59566,3,81573,4,93351,-,96584,-,99533,-,109130,-,115617,-,135739,-,166738,-,198763,-,243141,-,266644,-,254102,-,222298,-,260290,-,243549,2,287780,-,295362,-
São Raimundo Nonato (PI),59926,2,60256,2,59840,-,59878,-,66630,-,75676,-,79704,-,79205,-,65042,-,67494,-,68820,-,69061,-,61006,-,63142,-,53331,-,46544,-,56219,-,48758,-,53752,-,45640,-,48690,-
Chapadas do Extremo Sul Piauiense (PI),22847,3,22933,3,21897,3,18498,3,16700,3,17078,-,16331,-,14685,-,15277,-,18020,-,19906,-,19965,-,23973,-,32493,-,32627,-,32419,-,34285,-,38496,-,41476,-,35366,-,37405,-
Picos (PI),50245,18,48661,8,50901,28,51862,8,54455,23,55665,8,50707,8,57723,8,52605,8,60717,10,51236,10,58828,10,49672,10,57345,10,52994,10,52216,10,55977,8,60515,6,64160,12,48482,12,52220,12
Pio IX (PI),47777,23,47417,11,51818,15,48972,9,50826,9,50861,10,52023,10,56848,10,54615,10,57675,11,41392,11,47432,9,42066,6,37358,2,35663,2,39417,2,40524,-,43380,-,43969,-,38923,-,43155,-
Alto Médio Canindé (PI),135039,33,122163,25,124290,24,126180,30,141675,28,142647,32,140696,30,141652,30,117283,30,140342,35,111795,34,137245,32,122212,28,124642,28,122627,18,129143,18,131451,15,131986,15,122438,25,105821,28,108110,19
Litoral de Camocim e Acaraú (CE),68156,65,71752,77,71628,237,64488,243,65900,185,65942,263,69244,250,75552,258,78462,262,84755,273,80970,273,83848,285,91879,284,68154,282,72460,244,75001,165,73818,144,76667,141,73418,57,69680,64,62983,59
Ibiapaba (CE),69529,116,57734,150,58612,134,60442,161,67634,192,67758,266,72630,273,73385,326,82955,396,85121,516,67903,625,79784,715,61101,785,55316,840,44715,940,37959,1080,40401,1602,44279,1920,48076,2648,47990,3453,51521,3687
Coreaú (CE),13481,-,14635,-,15276,5,15234,6,15826,5,11451,8,10264,6,10270,10,10173,15,10236,20,13499,25,13444,30,15394,35,14101,38,11423,5,10643,6,10304,5,10400,2,11338,1,11411,2,11069,3
Meruoca (CE),8210,-,5978,-,6425,-,5922,-,5427,-,5044,-,5037,-,5257,-,5275,-,5320,-,6769,-,6624,-,5316,-,3087,-,1595,-,1835,-,2116,-,2184,-,2603,-,2651,-,2679,1
Sobral (CE),49591,14,58324,12,73483,10,74653,-,79426,-,74018,-,82505,-,84099,-,84158,-,86746,-,77226,-,80514,-,71570,-,48429,-,47473,-,49353,4,54677,4,57652,9,50328,6,50185,5,50627,8
Ipu (CE),53959,40,54081,70,61288,78,58072,80,54433,72,52247,96,50538,111,46918,139,43689,162,44266,213,41107,237,46750,278,48969,303,35981,325,31261,140,26343,145,27538,264,28780,344,34557,507,27928,382,32587,396
Santa Quitéria (CE),41624,4,45936,5,46683,-,44212,-,58011,20,48956,32,48623,58,48037,68,53695,73,53665,108,51784,132,57462,144,41987,170,16116,67,42300,180,56699,96,50405,49,65650,81,50878,45,57395,100,53248,75
Itapipoca (CE),46517,31,58077,38,57739,115,56838,200,59301,207,60325,206,60232,201,61307,210,62281,216,63390,223,46852,218,61669,227,60913,219,44669,225,43380,60,48316,120,45037,84,44217,100,47375,32,33991,19,35311,40
Baixo Curu (CE),29847,4,29269,4,29324,4,25080,4,26008,4,27404,4,28979,4,28734,4,29279,2,34792,5,28290,5,31755,6,31126,3,17404,9,23184,9,21107,9,14907,8,16232,15,14653,18,10960,32,10398,58
Uruburetama (CE),10804,-,9369,-,11964,-,12415,35,13613,36,13129,38,14064,8,14384,10,15594,12,16028,15,14857,20,19062,25,14922,30,12851,42,16202,20,14972,29,15777,7,19565,18,20578,25,20050,28,18928,34
Médio Curu (CE),15292,-,11839,-,15996,-,14706,-,11741,-,11869,-,12580,-,13297,-,15489,-,15608,-,15904,-,18775,-,13802,-,9209,-,15403,7,15690,9,14803,11,26197,25,19274,33,16175,31,18536,31
Canindé (CE),62199,8,43989,8,49456,10,54303,15,61326,38,58285,47,57455,63,84210,72,89528,79,90697,125,75890,148,77604,176,56032,215,27289,74,36237,191,41983,60,33916,29,57523,110,54306,107,57958,65,64152,108
Baturité (CE),42799,-,39747,-,43430,-,43320,-,42181,-,41223,-,38609,-,42518,-,44347,-,46812,-,37010,-,53269,-,35132,-,26843,-,36162,-,29680,-,28995,-,32387,-,35816,-,34419,-,35052,-
Chorozinho (CE),12961,-,9334,-,11860,-,13873,-,11688,-,12310,-,12369,-,12953,-,13275,-,14291,-,10655,-,15856,-,10038,-,8650,-,13507,-,10243,-,10422,-,13688,-,14209,-,14840,-,14809,-
Cascavel (CE),8272,72,11398,85,10295,65,11263,103,15235,125,18007,137,17098,138,18662,151,19049,192,18949,232,11357,197,18299,225,15690,196,13195,150,11609,162,9700,100,8048,191,8909,114,9447,80,9271,143,7184,172
Fortaleza (CE),19344,85,16762,100,18632,-,17867,-,18409,13,18161,14,19294,12,21361,13,21846,44,21295,46,20018,47,21830,48,18565,49,13739,16,15043,24,10729,71,12881,49,12791,59,11677,47,10735,40,9329,54
Pacajus (CE),5033,-,6241,-,5703,-,8139,1,7008,5,8106,7,8715,8,8771,6,8036,2,8875,3,5590,4,6681,6,8450,8,2998,6,3296,14,3937,11,3476,10,3468,18,3552,14,3495,25,3357,20
Sertão de Cratéus (CE),144428,-,132319,-,146524,-,151549,-,117972,-,111021,-,115046,-,111377,-,113376,-,110631,-,70382,-,142507,-,95750,-,54338,-,106925,-,112132,-,113945,-,120034,-,117985,-,106043,-,102696,-
Sertão de Quixeramobim (CE),113783,10,82464,10,113965,10,104272,12,97132,28,79658,35,83646,39,85364,43,91048,46,97045,75,78558,86,104576,95,54940,116,31117,34,43391,108,68955,52,47503,39,64270,71,71604,124,63253,106,59405,135
Sertão de Inhamuns (CE),86550,-,80027,-,91959,-,101441,-,102249,-,83989,-,94554,-,94814,-,97524,-,100987,-,85223,-,102111,-,90236,-,49264,-,63904,-,63283,-,68117,-,68388,-,66388,-,59471,-,63405,-
Sertão de Senador Pompeu (CE),90880,-,112469,-,104651,-,109171,-,109859,-,81926,-,88909,-,124527,-,124600,-,125875,-,83267,-,124241,-,74277,-,69123,-,90079,-,91621,4,80390,7,87669,6,90490,14,89184,22,82800,23
Litoral de Aracati (CE),11132,-,5770,-,9460,3,11179,3,11531,5,12249,8,14911,8,13891,10,15500,15,13930,15,10090,12,15336,15,12866,5,10217,-,9630,-,8947,-,6399,6,6788,5,7367,22,7207,19,6657,22
Baixo Jaguaribe (CE),68907,12,40144,8,56536,6,55356,4,56300,4,49601,-,66708,-,57505,-,57803,-,70908,-,45085,-,68453,-,39742,-,43631,-,48495,-,44626,36,38902,18,42434,71,48032,63,43743,59,42355,64
Médio Jaguaribe (CE),32987,16,18510,14,21833,12,26083,9,20729,10,12495,11,16045,7,15198,5,16574,5,16810,4,6350,3,16411,6,6277,5,5243,4,5916,4,6715,13,7752,19,5398,17,7230,22,7225,18,6957,14
Serra do Pereiro (CE),31260,-,19518,-,20863,-,20509,-,17812,-,12355,-,11439,-,11034,-,12452,-,15137,-,7103,-,12533,-,7281,-,5364,-,7380,-,9507,-,9778,-,11138,-,11641,-,11305,3,11773,3
Iguatu (CE),52048,-,44061,-,44549,-,45932,-,48113,-,43275,-,44363,-,45796,-,48595,-,46590,-,43152,-,42160,-,38669,-,19995,-,36839,-,28983,3,24948,10,26855,13,27907,28,26098,29,30872,35
Várzea Alegre (CE),28573,-,28374,-,30358,-,30425,-,26747,-,23910,-,25007,-,27103,-,27921,-,28543,-,26012,-,27854,-,23983,-,14848,-,19906,-,16065,-,16189,-,17612,-,18528,5,11662,7,15787,9
Lavras da Mangabeira (CE),19404,-,14704,-,17729,-,18475,-,13322,-,14123,-,15961,-,16421,-,16941,-,16519,-,10057,-,11656,-,12016,-,6217,-,7176,-,7066,3,6491,3,8245,3,9689,2,8295,4,8382,-
Chapada do Araripe (CE),43119,1,49549,2,60219,-,57162,-,48084,-,48504,-,49222,-,49440,-,55535,-,56411,-,48681,-,48891,-,37022,-,37548,-,40584,-,32084,-,29266,-,45028,-,40681,-,36630,3,36844,4
Caririaçu (CE),14542,-,14408,-,16749,-,17195,-,16027,-,10710,-,13836,-,17976,-,18270,-,18789,-,16302,-,17048,-,12786,-,10611,-,12285,-,9467,-,10355,-,12909,-,12366,-,11881,2,12785,3
Barro (CE),61802,-,56548,-,70048,-,69611,-,58317,-,42096,-,55910,-,57010,-,61975,-,63251,-,36463,-,50111,-,35083,-,14048,-,10375,3,12232,6,16682,31,26259,101,27872,112,17388,118,19882,121
Cariri (CE),50649,17,48805,19,47947,20,46625,23,41690,25,31290,27,42573,35,45086,40,47119,45,48778,50,48603,45,47607,50,39097,60,31889,65,31778,50,28449,47,26154,15,27664,14,25018,12,20928,10,22714,13
Brejo Santo (CE),64650,-,51489,-,51738,-,52294,-,26358,-,20280,-,34078,-,34889,-,33670,-,34947,-,28525,-,36355,-,26222,-,13536,-,12147,8,8707,25,11274,33,18393,48,21731,40,11554,12,14628,13
Mossoró (RN),32458,-,25532,-,32912,-,38999,-,41673,-,22659,50,38303,10,45396,10,33526,7,37130,7,14871,15,29113,15,17054,5,21233,15,20143,5,24192,-,19012,2,27764,-,39400,-,41220,-,43160,10
Chapada do Apodi (RN),19829,25,21565,-,21608,-,24267,-,25975,-,18610,9,19422,10,22072,10,23911,13,21952,13,1939,12,20303,16,2781,16,7529,16,7570,16,4651,23,6282,45,6375,47,6380,108,8874,118,9708,113
Médio Oeste (RN),6629,5,8223,-,9120,-,9388,-,9694,-,2995,28,5336,30,4902,26,5883,27,5774,27,595,22,4345,25,1968,15,1527,15,2027,5,1721,6,2052,6,5040,-,2581,20,3303,50,3810,50
Vale do Açu (RN),8272,109,5535,94,8929,120,9531,95,10482,70,6961,56,7152,46,5536,41,6153,51,7504,91,4504,60,8022,42,1251,-,1871,10,4900,12,4176,15,5037,20,4287,13,6313,99,7687,64,6950,64
Serra de São Miguel (RN),9105,42,9455,42,10392,54,12333,46,15691,40,13507,36,14830,38,11950,24,13811,34,12436,35,9653,15,9726,27,8586,25,7642,19,8575,28,5673,18,5705,21,6668,30,9459,30,6669,20,6825,28
Pau dos Ferros (RN),16584,73,16386,75,21905,85,20718,56,22108,72,16814,70,18641,68,17422,43,20200,68,18802,66,6184,53,12575,60,8056,60,10302,30,12897,61,6437,22,7767,10,8551,10,9582,16,9244,14,9535,16
Umarizal (RN),11803,40,12088,37,13295,37,13348,46,14437,66,8645,67,11513,94,10789,31,11133,37,10962,40,3031,20,7311,54,4594,51,5463,35,6640,32,4793,29,3800,7,4109,5,5754,23,6090,38,6389,33
Macau (RN),4137,15,1215,15,1687,90,2350,80,5058,105,2773,60,3472,50,1799,40,2933,40,2860,40,2335,20,3501,15,1866,27,1179,42,2153,34,3101,22,2459,-,2886,3,2211,10,3609,15,3393,12
Angicos (RN),7093,-,2175,-,4636,-,6759,-,10126,-,3704,-,6428,-,3698,-,3948,-,5178,-,1833,-,4909,-,1086,-,2324,-,4370,-,3116,-,5144,-,3240,-,6207,-,5333,-,4361,-
Serra de Santana (RN),16443,25,14256,20,17745,70,14263,101,20198,61,13735,76,15131,86,12041,26,12496,35,14710,38,6993,62,9610,23,9011,-,3763,6,12505,2,10924,2,8996,2,13017,2,14807,8,18204,23,15298,75
Seridó Ocidental (RN),1764,25,2360,85,3947,189,2218,159,2883,192,2247,299,2275,176,1970,109,2641,235,1744,53,681,72,2937,104,1865,31,1257,65,1506,76,1110,30,1561,92,1762,-,1978,15,1833,87,1094,25
Seridó Oriental (RN),6396,-,6156,-,8939,105,4466,72,5040,108,2668,132,5031,119,3489,38,4550,96,6867,85,1968,261,3733,121,1544,8,396,9,3626,6,2604,2,3016,2,3049,-,3122,5,3295,11,2023,2
Baixa Verde (RN),7922,-,5959,-,6990,-,9136,32,17118,45,14130,35,14160,80,8797,95,9687,95,9408,95,2910,15,5855,20,1824,15,3388,15,2657,15,2817,115,2562,300,2529,315,2910,400,3323,557,3565,716
Borborema Potiguar (RN),40734,10,23392,12,27529,16,28784,8,34544,9,24023,90,23222,36,27224,45,27080,34,26498,73,14991,52,20614,54,3043,6,10166,20,8529,17,17957,14,11652,14,6723,14,11229,14,17497,20,16258,23
Agreste Potiguar (RN),53962,225,46771,599,52987,622,57782,939,75726,878,54616,491,48432,601,46444,655,55565,812,52791,679,30253,565,39312,694,29157,417,26382,788,24205,840,19287,1094,15088,1221,14469,1135,22873,855,25599,786,27113,790
Litoral Nordeste (RN),17255,110,13008,110,18973,110,21689,145,23612,175,19978,225,21894,270,22128,188,23174,168,22931,163,19577,163,17030,198,10626,515,9393,55,13083,378,9536,725,9239,745,15778,1532,17936,1650,16535,1755,18405,1765
Macaíba (RN),21576,355,18501,565,22845,557,23688,1065,24645,1085,24174,300,24674,386,25325,295,25927,310,26058,317,21817,300,20583,387,16603,720,12940,776,11998,480,12620,575,13080,595,11570,655,12195,685,12405,915,12975,885
Natal (RN),1466,52,1281,40,1525,40,1642,62,1645,65,1569,55,2158,55,2058,-,2218,-,2017,-,1726,-,1867,-,1762,-,1090,10,323,3,255,3,205,8,160,8,192,15,182,15,205,22
Litoral Sul (RN),35037,80,28148,85,37810,73,38343,81,43034,81,41228,9,40222,43,42951,136,48113,157,47449,167,43062,123,43356,172,51352,187,51162,235,50970,330,50513,440,50224,510,50161,520,51695,490,51420,385,54310,350
Catolé do Rocha (PB),7194,73,3485,40,5729,65,8068,67,9286,67,4843,67,8472,68,10219,72,8482,70,8803,71,9079,70,6180,72,3266,82,27,-,3942,77,3340,84,3332,8,4585,62,5982,24,4917,24,4766,24
Cajazeiras (PB),26009,2,24832,2,26748,2,25209,2,26619,12,21166,15,21880,30,12396,20,18062,32,17659,35,9585,30,19171,60,12055,45,7619,45,9841,66,8943,68,8840,48,9995,70,11198,63,9660,46,10999,94
Sousa (PB),16974,68,12501,42,14833,60,16853,60,22003,66,12860,66,15536,66,13203,66,18693,64,13870,65,9283,74,13803,80,7887,108,3789,-,8463,91,6517,139,6437,47,8312,105,8096,96,8246,121,7898,126
Patos (PB),6028,90,3255,65,6027,96,5944,108,6106,138,3882,140,6742,175,6829,170,5710,180,6698,185,3413,115,6670,180,2403,65,179,7,5040,79,3946,103,4525,124,4604,112,4272,98,4962,114,5725,95
Piancó (PB),19409,94,19021,59,21126,138,24454,157,25614,297,20060,300,25765,309,24133,209,23039,160,23634,310,11344,103,12918,166,6616,82,1631,20,7445,76,6414,131,4221,96,5464,112,6731,82,8025,49,8229,44
Itaporanga (PB),44412,37,43745,30,46787,42,50809,42,55190,40,43489,55,52802,57,46421,58,51321,69,50946,77,24390,64,31406,213,19974,155,5834,260,7735,338,6066,301,7470,242,9287,353,10795,285,11483,330,11157,352
Serra do Teixeira (PB),47956,86,25053,77,47941,125,62237,185,61753,421,54442,233,65825,271,65462,289,61535,391,64657,318,46974,246,47984,238,16778,86,1585,30,23652,94,18597,121,23198,176,25954,122,24647,114,24958,129,26958,114
Seridó Ocidental Paraibano (PB),3369,32,4859,23,7076,114,7115,185,5019,169,4156,188,6193,196,6236,112,5864,192,5887,132,1935,107,5658,112,1080,15,67,-,3904,65,2413,19,3012,71,3461,33,3984,45,4366,43,3593,41
Seridó Oriental Paraibano (PB),20092,197,22208,46,30093,95,21742,121,25340,135,18586,102,24687,195,19082,188,24162,195,23760,150,6452,100,21775,155,3445,35,3190,10,9411,61,9618,28,6853,33,9912,47,13971,57,12914,53,13748,56
Cariri Ocidental (PB),31871,52,24822,90,28362,106,31807,74,39315,381,37296,416,41061,363,19733,279,40738,325,40810,255,15357,180,35190,162,6824,123,388,73,9452,116,3225,136,12139,94,9340,81,19669,132,18462,109,18744,103
Cariri Oriental (PB),14359,29,13336,28,12004,28,16940,31,17249,82,17192,105,13431,129,7932,75,17827,104,17793,132,6735,134,17172,120,5567,95,2568,80,8026,94,1344,112,7129,142,1652,89,8536,105,6782,85,6933,102
Curimataú Ocidental (PB),41415,165,24522,83,27169,75,30990,128,34120,147,29761,133,31953,143,29476,109,29335,155,30310,135,14340,130,27402,135,10558,39,12733,90,12374,77,8097,93,13028,67,11236,70,17469,96,15487,84,15929,99
Curimataú Oriental (PB),28299,30,18002,65,24723,41,24339,56,29563,88,25466,90,21907,72,37228,77,32434,89,31977,82,16282,53,27640,75,9309,60,13008,77,9550,74,11350,91,22484,90,18315,90,18550,110,18570,115,19176,121
Esperança (PB),13014,280,9149,235,10494,260,9163,234,11832,325,13161,370,12070,320,12855,430,12377,330,10934,400,4739,420,10529,270,4291,218,4264,280,6137,205,4156,238,5361,204,6648,355,5892,275,4655,280,6165,335
Brejo Paraibano (PB),31333,728,29012,725,21610,701,27589,1086,30155,1034,24559,1042,26124,752,26613,762,25921,919,25199,1039,21245,1023,25193,680,14686,766,15237,666,15255,563,14593,516,16670,449,15509,492,16902,530,14951,523,15629,554
Guarabira (PB),17141,437,13232,374,15317,405,17460,460,19270,505,17674,375,16653,275,16027,300,17414,351,17163,340,9627,62,18394,180,14537,116,17896,214,16332,243,15497,296,14849,283,16234,396,12811,374,12284,419,13317,374
Campina Grande (PB),40891,146,39300,121,33664,144,36629,186,41624,218,38338,240,36787,240,24210,215,34432,290,34646,290,27292,390,30944,263,24826,336,21568,280,23257,359,14474,569,13990,230,13835,277,18343,438,14055,482,15169,439
Itabaiana (PB),34882,185,13216,119,12721,55,17706,135,22545,145,21126,135,18312,78,19878,153,24102,153,23617,118,10610,109,20131,153,7409,69,14676,115,12253,119,14572,131,13217,170,13957,121,12631,101,12628,121,12910,106
Umbuzeiro (PB),7892,7,6565,5,5062,17,6790,27,6832,44,6914,30,6869,70,4257,46,7882,65,7911,65,3065,65,9845,55,5613,35,5071,48,4694,32,4004,42,4246,25,6730,28,5612,21,4148,22,4150,27
Litoral Norte (PB),28625,222,34299,239,34994,318,32946,341,35425,377,33986,456,43196,400,45230,455,44067,439,43153,388,41508,323,42858,378,42063,317,42218,238,42176,283,42135,278,42218,268,39325,394,41260,366,39878,446,39785,416
Sapé (PB),28345,2040,19525,398,20758,372,26477,516,30429,786,28160,790,27898,750,29607,770,34813,845,35393,830,31654,665,33260,620,40036,495,41045,555,37705,495,37421,535,36170,653,28701,820,30175,735,31417,775,29595,687
João Pessoa (PB),17388,93,19080,82,18298,82,24299,75,24149,76,19219,64,20315,72,20690,72,19862,62,18604,59,18605,59,18688,81,23570,61,23645,66,23031,57,22982,63,23240,64,19037,76,18297,78,18483,89,18282,93
Litoral Sul (PB),44183,932,41970,270,40541,860,45609,667,45547,1088,44744,751,43834,765,43924,765,44655,777,43525,552,43486,472,38072,531,32902,250,31569,298,33069,235,30878,375,34733,365,28583,382,28872,500,24236,690,28127,685
Araripina (PE),139252,10,139056,9,143507,8,131762,3,122039,3,147064,3,147537,-,109726,-,169577,8,144317,8,138520,8,127266,10,106197,-,13283,-,96614,-,97960,-,100319,-,100217,-,119619,-,117011,-,119326,-
Salgueiro (PE),45683,18,41161,20,39496,22,39997,20,43679,16,34753,16,41084,-,41395,-,38672,9,39862,9,37258,12,37880,21,36209,11,10353,-,12740,-,10165,-,16485,-,8081,-,10687,-,13660,2,19344,1
Pajeú (PE),149482,98,135063,65,150520,75,165295,81,166786,95,148396,94,148307,100,150485,102,156627,73,156498,73,155054,95,158529,108,157535,138,6546,122,111754,62,112867,84,106103,69,91343,72,94980,83,80844,127,80115,152
Sertão do Moxotó (PE),34995,-,12141,-,38320,-,49651,-,35660,-,43764,-,59254,-,62260,-,62318,-,62730,-,47130,-,54220,-,35955,-,5068,-,45260,-,29695,-,45215,-,38755,-,18714,-,27063,-,30528,-
Petrolina (PE),43958,9,41571,42,31405,70,41896,89,50239,73,42247,79,38253,65,38240,65,45433,85,43421,85,26784,75,40127,75,35063,35,21807,20,18599,-,37056,-,32001,-,25701,-,35499,-,32767,-,37277,-
Itaparica (PE),21808,21,18286,13,15884,19,15671,17,16311,17,17897,17,17544,-,17452,-,19318,15,19170,10,15912,10,22554,10,16529,-,4738,-,13484,-,12718,-,13890,-,7858,-,10930,-,9940,-,12459,-
