"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Área plantada (Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Sergipe,213578,2884,216672,3000,219446,3114,256775,3220,267024,3113,261319,3029,314330,3143,295241,3199,301765,3644,311368,3614,326608,3390,304590,3207,271294,3352,279791,3090,284818,3102,282686,2889,274342,3051,260207,3465,213475,2709,212001,3791,218519,4066
Bahia,2910098,2181,2791302,2277,3054580,2116,3219344,2364,3396708,2216,3535027,2833,3398365,2824,3374656,2877,3413864,2489,3410816,2411,3356322,2542,3520869,2457,3042539,1169,3173428,1180,3584274,1265,3710681,1503,3275959,1641,3133149,1271,3199951,994,3216103,1053,3229289,975
Minas Gerais,2958733,1351,2885899,1299,2993543,1187,3281050,974,3626812,1170,3676705,1227,3547511,1198,3435778,1097,3574571,1169,3673694,1263,3707924,2330,3809903,2672,3947905,2194,4130827,1966,4329431,1849,4297197,2496,4363801,3369,4251179,2746,4206628,2600,4502247,3352,4640417,3825
Espírito Santo,151195,269,145919,253,155221,81,162525,143,166136,149,164362,125,154094,186,151164,182,159690,172,161451,182,144614,175,147384,18,141022,22,133936,99,131024,99,124941,150,106258,173,88513,249,91259,251,82156,298,79856,354
Rio de Janeiro,206389,1168,206597,1017,198457,1114,199190,1074,211168,1067,208228,1136,201816,1107,168004,1104,169935,1097,166885,1063,167816,1058,141384,1004,157396,1000,138238,938,121981,660,101833,574,79218,501,79665,481,75912,760,78802,625,75897,690
Guanabara,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
São Paulo,4716173,2948,4836170,3784,4906919,3620,5204285,3506,5468870,3720,5648446,3494,5838923,3144,5839811,2999,6602359,3433,6702900,2881,6790397,1891,6957714,2804,7045089,2812,7277216,3864,7503691,4471,7670689,6445,7827257,8341,8020736,8383,7856136,8648,8063719,8742,8068262,10185
Paraná,7853944,3856,8002948,3845,8404740,3967,9279977,3858,9457679,3860,9297592,2893,9054166,2997,9210485,3063,9620395,2601,9894073,2097,9533355,2104,9740331,2546,9857170,2639,10337789,1706,10587901,1985,10494673,2270,10598562,2604,10528044,2833,10357553,2758,10551878,2593,10741346,2651
Santa Catarina,1633817,2036,1643643,2121,1655747,1619,1717082,2388,1757864,2343,1743302,2402,1714457,2877,1690398,3056,1680007,2870,1652656,851,1591863,1658,1554786,1703,1490575,1609,1523522,1732,1545746,1656,1517119,1759,1502254,1880,1496322,1827,1439650,812,1433363,988,1435760,1109
Rio Grande do Sul,6855647,14568,6951412,14482,7307665,14162,7744954,14430,8212434,13554,8051809,13431,7783099,12894,7804492,12772,7914625,12813,7893148,12681,7769356,12600,7955427,12345,8091176,12312,8582911,12397,8871226,12082,8794564,12148,8765576,12523,8907020,12975,8909135,12779,9060127,11973,9373410,11296
Mato Grosso do Sul,2055107,25,2014829,76,2096103,57,2570366,30,3007135,39,3115191,15,3004163,6,3032633,14,3237782,-,3206201,-,3245163,-,3496823,-,3813582,-,4318120,-,4551748,-,4744300,-,4939289,132,5273371,132,5469048,200,5784337,174,5946931,88
Mato Grosso,4746968,10,4882136,15,5632992,25,6445164,50,7912796,50,8976694,30,8009276,30,7992055,44,8830550,26,8735355,-,9381244,60,9884223,187,11262263,183,12723490,221,13542011,304,14082687,261,14494519,210,15570194,283,15478806,211,16594186,122,17150016,132
Goiás,3060808,80,3120563,60,3460538,50,3715712,60,4272494,55,4291352,120,4040749,120,3918065,105,4187320,40,4409036,40,4470306,35,4889269,-,5244323,-,5601980,-,6100279,-,6087704,110,6306761,96,6399617,-,6311717,-,6634818,-,6900413,-
Distrito Federal,81554,200,81901,192,86301,181,98763,139,110167,113,122596,88,122096,84,125973,97,130177,75,119691,80,116670,68,125617,58,132508,105,134553,98,172931,132,158458,221,164712,246,160942,683,163304,250,163784,250,169904,250
Porto Velho (RO),22180,-,20566,-,20422,-,26215,-,30933,-,35919,-,36034,-,36507,-,36493,-,37090,-,36797,-,38040,-,27166,-,28364,-,30927,-,40635,-,51334,-,67600,-,66239,-,91297,-,119665,-
Guajará-Mirim (RO),7916,-,9039,-,6912,-,8527,-,12514,-,13806,-,13587,-,13081,-,12520,-,13122,-,14299,-,11663,-,8236,-,3663,-,2879,-,2725,-,3368,-,3864,-,4894,-,5179,-,5249,-
Ariquemes (RO),31010,-,26455,-,25598,-,27943,-,35263,-,34524,-,28965,-,30603,-,32750,-,35741,-,36788,-,30712,-,36347,-,29747,-,36093,-,40039,-,43374,-,46831,-,54053,-,78814,-,86333,-
Ji-Paraná (RO),73134,-,50930,-,37415,-,45061,-,50490,-,51275,-,46298,-,47414,-,49182,-,48717,-,47226,-,43367,-,30426,-,19827,-,14332,-,13855,-,12723,-,12852,-,9450,-,8814,-,8414,-
Alvorada D'Oeste (RO),32884,-,28418,-,17861,-,16088,-,16839,-,17328,-,17497,-,17568,-,16871,-,16010,-,14799,-,17242,-,15456,-,17487,-,21230,-,29711,-,22731,-,27085,-,24764,-,30072,-,28840,-
Cacoal (RO),101709,-,74714,-,63428,-,68683,-,72392,-,78435,-,73641,-,75211,-,78144,-,77980,-,70294,-,161314,-,67045,-,60758,-,55466,-,53958,-,55921,-,57019,-,52674,-,53764,-,52437,-
Vilhena (RO),33217,-,38977,-,49195,-,67735,-,85399,-,88015,-,93924,-,85019,-,100365,-,94474,-,110960,-,104815,-,156351,-,128862,-,128595,-,138469,-,144703,-,158710,-,135920,-,137340,-,161919,-
Colorado do Oeste (RO),41439,-,34629,-,25149,-,31403,-,47327,-,66950,-,83255,-,78150,-,82614,-,113632,-,124319,-,138898,-,135253,-,159085,-,175661,-,186361,-,178467,-,211285,-,223293,-,251757,-,259053,-
Cruzeiro do Sul (AC),18625,1,19010,1,19942,1,20630,1,22475,4,22911,4,24352,4,24808,4,25201,9,25393,6,33856,12,42326,19,46182,29,30988,22,25740,20,23919,20,24045,18,19805,15,15934,15,15616,14,15602,15
Tarauacá (AC),11277,-,9253,-,11181,-,12707,-,13535,-,13666,-,14438,-,14895,-,16913,-,12881,-,16385,-,14747,-,15963,-,15285,-,13694,-,14581,-,17088,-,16529,-,13856,-,13597,-,13250,-
Sena Madureira (AC),14464,8,13988,8,16322,4,15882,5,14793,6,14924,7,10932,6,11025,7,11914,7,12069,5,16469,11,14856,10,14142,11,16041,24,16808,24,13099,26,9980,22,9292,22,7563,25,6983,23,6712,22
Rio Branco (AC),30135,-,30274,-,30473,-,29712,-,43140,-,44306,-,40821,-,39714,-,33005,12,25307,15,35438,18,35541,39,43440,49,40393,61,40473,69,38155,60,31864,55,29901,55,23669,45,22917,44,23966,44
