"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Valor da produção (Mil Reais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Alagoas,829435,3919,930133,5281,966310,6248,927655,4702,977378,4697,940664,8292,1012100,6538,1078078,5543,1378208,5438,1444011,6193,1383930,5414,1915051,4977,1828446,14743,1875747,5965,1855207,12263,1723720,13856,1687664,18944,1745829,41446,1505392,43247,1695040,55417,1856005,73931
Sergipe,108603,4487,105852,5447,158909,9046,271809,10293,239383,10532,223476,6428,281042,7226,341969,8306,518496,25152,507359,12977,655663,20538,594128,17552,672759,25821,815810,27552,729939,27200,686832,28512,543217,36142,857956,45315,399360,26665,914544,59493,1337973,60169
Bahia,2055848,4156,1961758,4501,3768677,6490,3899861,8105,5002819,8663,3984132,12893,3635956,12490,5433452,12915,6446452,13252,5558896,12538,6081014,14367,7844381,13573,8340511,6552,7795781,7149,10954542,11632,10704975,13602,9818969,19436,10608518,10083,14324175,8042,13909177,8980,20778150,12268
Minas Gerais,2909278,3177,3128515,3336,4312221,3819,5794185,4488,6511716,5788,6557282,6830,5752883,7194,7229428,8658,9614668,10444,9421506,11416,9938813,40320,13187513,42465,13892569,29886,15316330,31410,14672683,33414,15627439,40561,21372658,61803,18665952,50762,19507223,55082,21881700,73504,27915486,83411
Espírito Santo,182440,1564,183284,1485,271731,505,341238,1094,368485,1090,385623,1178,350566,1688,356250,2656,394619,2362,326517,2362,501392,1726,594930,129,583991,218,625665,1600,648607,3089,518682,3309,661170,6966,593750,6046,628457,7809,718783,8575,777887,11050
Rio de Janeiro,298808,5608,287028,4951,331659,5472,355250,6085,492607,5875,445463,6798,448583,6385,387320,6277,462383,6124,587694,5107,514123,5042,722867,5565,858283,5369,772242,6559,820776,8565,834230,12030,814712,11518,773727,7750,754705,12416,780782,8345,1046503,12715
Guanabara,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
São Paulo,5693185,17379,7454020,19751,10045550,20283,11346871,14269,11391720,15212,11512086,13748,14006881,16663,15681416,21088,16610182,31851,18110454,30338,20014037,20714,25760915,17855,28764196,18256,30206624,46771,28673970,51906,31421899,73413,39585340,151196,40505705,78015,39124541,119671,41681890,95759,51657286,131922
Paraná,5024237,19324,6636302,18273,9156726,21641,14602226,20127,14824193,21143,10876559,19645,10655095,22597,14860532,25785,20712886,19676,15912284,16014,18419973,16108,22673681,26050,23568402,28649,30401710,22880,30857128,35309,31788519,54300,38187641,67613,36423121,84808,39092703,74967,38582892,71143,57449143,82269
Santa Catarina,1784184,6081,1892858,6040,2374900,5819,3780905,13306,4023414,11785,3365133,11465,3099406,15006,3845410,25215,5211523,21621,5056579,8616,5161595,23324,5217263,22028,5187193,23177,6868898,25195,7198151,32102,7038221,30280,9144574,40455,8272128,34110,8354971,19153,8626187,20224,10398579,22732
Rio Grande do Sul,4833152,47278,7208523,49025,8310731,57367,13898361,80063,12838256,73078,7626500,77774,10187797,94316,12993185,96711,16595781,102116,16562919,109293,16866437,108686,19683813,115399,16136892,128750,26738998,149763,28151457,196645,30633382,195082,35934878,233681,34303301,193835,36449575,178158,37936172,196022,35072578,171313
Mato Grosso do Sul,1139322,24,1582241,73,2204319,92,3884570,99,3544863,162,2627254,79,2625611,32,3759509,78,4970745,-,4367977,-,5418415,-,7194469,-,8505539,-,9757888,-,11451555,-,13094091,-,15328973,4177,15186099,2857,19018718,2850,19135591,2441,29457769,2173
Mato Grosso,3629736,26,4115748,40,6219908,56,10051367,86,14709349,131,13073250,130,7842518,63,10843715,100,16220258,92,15837605,-,13545457,1036,21240896,4352,25738913,8057,28578682,11729,33685897,22066,36495994,13711,43371526,13796,43121275,13847,49896267,12685,58070708,4957,78912344,3704
Goiás,2437404,137,2768491,108,4771066,75,5873042,204,7015782,150,5534386,299,4780519,299,6177923,361,8855373,154,9202009,92,10247096,80,13006392,-,15421830,-,17489578,-,17628172,-,18926896,4490,23537426,3825,24014516,-,25600529,-,28836338,-,35446566,-
Distrito Federal,96485,1162,97441,1116,159403,1245,224545,1124,216556,854,225343,770,200611,693,250946,952,390566,767,328828,776,305647,1300,461068,720,514780,1187,521048,1391,710825,3009,575583,4574,709181,3939,724162,8196,782505,4463,844690,6375,1317209,8500
Porto Velho (RO),11387,-,10423,-,14053,-,24530,-,34598,-,49017,-,56327,-,73456,-,91002,-,112217,-,115490,-,180591,-,108236,-,130064,-,208075,-,253861,-,335609,-,423429,-,438171,-,468199,-,742661,-
Guajará-Mirim (RO),2598,-,3537,-,4997,-,7385,-,10997,-,11662,-,12940,-,16212,-,19745,-,22454,-,24336,-,16744,-,19881,-,20198,-,12196,-,12981,-,27561,-,17280,-,20270,-,14744,-,27319,-
Ariquemes (RO),9769,-,8969,-,14872,-,20022,-,29919,-,32347,-,34109,-,49743,-,55035,-,72489,-,71368,-,72804,-,189953,-,93141,-,152608,-,164333,-,243938,-,237517,-,266516,-,301594,-,381454,-
Ji-Paraná (RO),22972,-,16542,-,25988,-,38563,-,34108,-,36550,-,40179,-,51018,-,67005,-,73213,-,68200,-,71368,-,65044,-,63075,-,81762,-,88700,-,139489,-,130573,-,105479,-,50343,-,92657,-
Alvorada D'Oeste (RO),10510,-,8628,-,11096,-,12072,-,10971,-,12490,-,16179,-,20807,-,25593,-,27526,-,21617,-,27680,-,29398,-,39174,-,56161,-,78021,-,70932,-,90780,-,79718,-,63187,-,83999,-
Cacoal (RO),34687,-,28007,-,50543,-,59513,-,55722,-,60658,-,62076,-,82954,-,111886,-,115200,-,71126,-,137777,-,187981,-,230072,-,220499,-,146960,-,186846,-,258075,-,168840,-,185859,-,227474,-
Vilhena (RO),19234,-,26895,-,63822,-,101363,-,120499,-,102522,-,90974,-,93178,-,156962,-,156037,-,172037,-,204808,-,421480,-,284942,-,329383,-,339506,-,449344,-,433112,-,409135,-,487408,-,640598,-
Colorado do Oeste (RO),23317,-,20645,-,29377,-,44865,-,69488,-,77039,-,81490,-,87447,-,129370,-,186986,-,198660,-,288306,-,443801,-,408551,-,486572,-,459761,-,490148,-,564429,-,612161,-,835275,-,1080303,-
Cruzeiro do Sul (AC),17860,2,14847,5,17518,6,27086,4,21921,17,26132,17,25488,17,28495,17,43174,63,52710,27,178080,101,117741,124,88714,231,148878,128,163725,113,104742,145,107109,190,99186,141,91853,141,80749,124,81595,129
Tarauacá (AC),15781,-,7123,-,9665,-,14496,-,12626,-,23545,-,15073,-,19941,-,31886,-,23647,-,37469,-,47693,-,47001,-,57370,-,75287,-,80739,-,93014,-,85559,-,75483,-,65861,-,68498,-
