"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Valor da produção (Mil Reais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Bico do Papagaio (TO),6390,-,8462,-,12737,-,18557,-,24372,-,22317,-,15831,-,23918,-,30104,-,23703,-,26694,-,25541,-,35024,-,44754,-,40610,-,42818,-,50926,-,73076,-,74121,-,76445,-,166914,-
Araguaína (TO),9394,-,10755,-,10734,-,25984,-,25196,-,32805,-,29188,-,35855,-,64151,-,56398,-,54108,-,44922,-,44694,-,63390,-,61466,-,85191,-,131042,-,133645,-,151465,-,125813,-,159466,-
Miracema do Tocantins (TO),19816,-,24189,-,26857,-,45566,-,77186,-,96889,-,78866,-,85067,-,133909,-,122966,-,121478,-,120249,-,134169,-,190590,-,245391,-,279874,-,534716,-,581814,-,678090,-,785037,-,1682532,-
Rio Formoso (TO),75064,-,98372,-,96286,-,307906,-,229772,-,166926,-,121208,-,178795,-,279618,-,280539,-,309906,-,355340,-,330639,-,556827,-,683976,-,775868,-,914511,-,830863,-,937664,-,998029,-,2142845,-
Gurupi (TO),15781,-,21040,-,20991,-,56929,-,70023,-,61690,-,44859,-,49745,-,93823,-,104644,-,113330,-,136703,-,175018,-,207218,-,407753,-,543889,-,363738,-,618793,-,674320,-,673379,-,1121757,-
Porto Nacional (TO),28764,-,33875,-,57018,-,84779,-,143612,-,136764,-,98926,-,103670,-,195741,-,196492,-,185326,-,388674,-,379524,-,412502,-,524454,-,622577,11,562670,-,665681,-,738971,-,992045,-,1406967,-
Jalapão (TO),9911,-,14704,-,42002,-,73681,-,100362,-,125805,-,98850,-,127603,-,238300,-,249182,-,258321,-,347430,-,382907,-,417404,-,607846,-,553645,-,495360,-,487015,-,648881,-,723495,1,929254,1
Dianópolis (TO),19068,-,24563,-,30248,-,54972,-,87820,-,85670,-,65099,-,79572,-,149114,-,149429,-,176418,-,190974,-,204420,-,221103,-,325222,-,248839,-,213715,-,273347,-,257343,-,286196,-,558484,-
Litoral Ocidental Maranhense (MA),9591,-,9766,-,5899,-,7861,-,10794,-,11700,-,11576,-,19148,-,28367,-,29957,-,22593,-,28522,-,29631,-,31421,-,31394,-,29444,-,30153,252,28409,69,24784,7,24118,4,21954,4
Aglomeração Urbana de São Luís (MA),246,-,259,-,177,-,213,-,195,-,200,-,112,-,136,-,278,-,568,-,606,-,533,-,527,-,577,-,645,-,346,-,340,-,306,-,143,-,136,-,122,-
Rosário (MA),3916,-,4091,-,5287,-,11462,-,13359,-,13426,-,12208,-,14849,-,21145,-,26490,-,24189,-,28301,-,29328,-,20667,-,55413,-,48454,-,34205,-,24859,-,16974,-,11912,-,10719,-
Lençóis Maranhenses (MA),7508,-,10532,-,11705,-,17204,-,19807,-,19113,-,15469,-,20948,-,34477,-,30728,-,31949,-,36967,-,32668,-,41118,-,73618,-,39134,-,28768,-,19255,-,16483,-,12937,-,12113,-
Baixada Maranhense (MA),40952,8,47347,9,46116,11,57081,5,73758,5,66648,5,63040,5,96936,5,123167,4,81037,4,107641,0,130752,-,134478,-,160638,-,133539,-,104856,-,103863,-,82667,-,78815,-,60258,-,62436,-
Itapecuru Mirim (MA),7514,-,9974,-,13857,-,19636,-,26475,-,32931,-,41924,-,38635,-,54200,-,36845,-,62185,-,64543,-,66713,-,41821,-,82727,-,58240,-,38946,-,30302,-,27861,-,11743,-,12567,-
Gurupi (MA),21853,-,22312,-,26978,-,36448,-,41737,-,40450,-,41804,-,45327,-,72590,-,46480,-,63986,-,61471,-,61512,-,106999,-,69934,-,64931,-,73671,-,55591,-,40460,-,27505,-,23113,-
Pindaré (MA),65659,-,77054,-,108316,-,132717,-,155842,-,133070,-,170338,-,191304,-,300115,-,180505,-,202033,-,270885,-,248003,-,349920,-,263536,-,227705,-,240256,-,206399,-,257118,-,269377,-,336853,-
Imperatriz (MA),18580,-,27484,-,27262,-,47931,-,51947,-,37689,45,45811,-,56750,-,42224,-,24545,-,29570,-,29808,-,19961,-,49910,-,64374,-,92062,-,148053,-,162838,-,230554,-,372297,-,515049,-
Médio Mearim (MA),20896,5,25159,-,30188,-,36020,-,40284,-,32303,-,45681,-,45637,-,106857,-,64271,-,65417,-,81121,-,64594,-,101806,-,92589,-,85466,-,68295,-,91785,-,61530,-,38555,-,36842,-
Alto Mearim e Grajaú (MA),27138,-,37995,-,63091,-,55500,-,79657,-,65564,-,70919,-,78115,-,102085,-,100337,-,103101,-,132998,-,134218,-,160175,-,156633,-,101497,-,61695,-,109485,-,137317,-,131833,-,141302,-
Presidente Dutra (MA),21083,-,24659,-,31831,-,37082,-,50395,-,41821,-,37893,-,43552,-,51391,-,44118,-,55250,38,73300,12,56018,15,87954,6,89787,6,95010,-,41436,-,70757,-,69026,-,69281,-,89676,-
Baixo Parnaíba Maranhense (MA),8106,-,9580,-,11840,-,17798,-,24956,-,19283,-,14891,-,15588,-,53180,-,64480,-,48198,-,59516,-,28899,-,57160,-,59975,-,36340,-,43286,-,44800,-,38846,-,43587,-,47842,-
Chapadinha (MA),24171,-,27729,-,41450,-,74583,-,89397,-,72998,-,105451,-,99353,-,239628,-,137474,-,115602,-,230521,-,133571,-,184993,-,254433,-,201174,-,245933,-,277158,-,269587,-,158292,-,305975,-
Codó (MA),10438,-,11674,-,15610,-,27802,-,33850,-,21418,-,18476,-,17973,-,26546,-,23295,-,29353,-,36722,-,29980,-,31024,-,74364,-,33945,-,20046,-,20581,-,22448,-,23136,-,23424,-
Coelho Neto (MA),5657,-,6807,-,7868,-,14104,-,16325,-,15393,-,25724,-,19538,-,51213,-,54133,-,68851,-,54663,-,74143,-,99178,-,472882,-,96390,-,56385,-,71400,-,81079,-,74820,-,92722,-
Caxias (MA),14318,-,18070,-,18650,-,24889,-,34077,-,20392,-,17874,-,20419,-,26188,-,30668,-,37475,-,38826,-,30834,-,34875,-,99726,-,52393,-,45390,-,68225,-,80696,-,93411,-,137074,-
Chapadas do Alto Itapecuru (MA),17111,1,24271,1,36469,1,52224,1,59285,2,37780,-,36949,-,32024,-,59984,-,47838,-,65039,16,83600,2,67807,-,89170,-,110365,-,141472,-,95126,-,170983,-,187616,-,157052,-,243205,-
Porto Franco (MA),26170,-,27992,-,40098,-,43492,-,45818,-,46746,-,44742,-,52285,-,55132,-,47166,-,65755,-,64837,-,101497,-,133129,-,145286,-,160836,-,98521,-,150340,-,150958,-,177483,-,287037,-
Gerais de Balsas (MA),106323,-,123252,-,178336,-,335156,-,335663,-,380634,-,209837,-,230704,-,666399,-,601069,-,677892,-,797951,-,1027979,-,1187363,-,1454307,-,1540561,-,950361,-,1774768,-,2270045,-,2419351,-,4053009,-
Chapadas das Mangabeiras (MA),61160,-,42228,-,101959,-,178570,-,186485,-,202205,-,152349,-,184070,-,464289,-,432514,-,488668,-,480623,-,440822,-,493112,-,538482,-,583649,-,425360,-,648043,-,794366,-,700567,-,1232412,-
Baixo Parnaíba Piauiense (PI),17339,29,22843,29,19566,9,31612,9,32124,9,20943,9,33996,9,35169,7,42584,15,37056,-,26547,-,44308,-,20415,-,29707,-,38309,-,22228,-,38021,-,65681,-,48979,-,48745,-,62844,-
Litoral Piauiense (PI),11977,78,13318,22,14885,10,30455,41,29909,37,21561,-,23379,-,29276,-,33059,-,21452,-,25451,12,46410,13,32804,16,41629,-,54401,-,40193,-,73407,-,113285,-,108332,-,82001,-,98157,-
Teresina (PI),15712,36,14417,60,13092,76,22899,84,25914,95,29877,85,33491,66,38648,49,41329,74,47967,87,42653,75,66483,81,51454,57,71137,68,89668,85,86159,130,80400,114,119943,82,127541,50,139853,-,139383,-
Campo Maior (PI),10900,5,9182,5,6090,5,19390,4,7093,-,13066,-,27324,-,11811,-,24034,-,18252,-,13739,-,25127,-,14216,-,17905,-,27713,-,12394,-,15485,-,46255,-,46494,-,33884,-,39384,-
Médio Parnaíba Piauiense (PI),9943,77,9110,81,7763,83,19701,90,23021,59,15342,39,23152,40,19185,41,32277,46,35029,50,20860,43,45272,37,22475,27,24186,35,49243,43,44043,15,34550,-,73909,-,86374,-,91398,-,121348,-
Valença do Piauí (PI),8767,5,5656,-,5373,-,16566,-,11746,-,9778,-,12586,-,8300,-,20898,-,18021,-,9354,-,32278,-,9799,-,8254,-,14662,-,14882,-,12857,-,40202,-,37195,-,35929,-,36159,-
Alto Parnaíba Piauiense (PI),40040,-,51888,-,50235,-,143719,-,205264,-,232576,-,187857,-,213867,-,518944,-,520031,-,419228,-,750267,-,962957,-,839734,-,1344761,-,1434873,-,764961,-,2042217,-,2375790,-,2273643,-,3186219,-
Bertolínia (PI),7010,2,7044,2,6218,2,26171,2,29134,-,36393,-,40298,-,25734,-,66536,-,61872,-,64227,-,93799,-,94511,-,86100,-,122731,-,99290,-,69610,-,166506,-,187137,-,151645,-,192950,-
Floriano (PI),7666,4,4893,4,6603,4,20808,4,11621,-,18947,-,13259,-,7934,-,13110,-,17807,-,12320,-,19744,-,6772,-,14946,-,19305,-,10514,-,8775,-,33128,-,29949,-,28496,-,35062,-
Alto Médio Gurguéia (PI),18767,2,17677,1,13278,4,63864,4,103710,6,102787,-,75318,-,80050,-,209206,-,199768,-,154994,-,348338,-,426282,-,212824,-,528113,-,597161,-,344403,-,715869,-,998762,16,972905,-,1473487,-
São Raimundo Nonato (PI),9385,6,5495,6,4830,-,15015,-,10419,-,22868,-,15387,-,9460,-,23072,-,29431,-,25204,-,53816,-,22663,-,37410,-,38997,-,66156,-,82037,-,87869,-,93983,-,66512,-,128017,-
Chapadas do Extremo Sul Piauiense (PI),4697,5,2534,5,2038,5,6532,6,6685,8,7645,-,4659,-,3430,-,8643,-,14130,-,9370,-,18589,-,15314,-,24821,-,32866,-,49590,-,19952,-,86932,-,111339,-,103921,-,125634,-
Picos (PI),11480,40,8101,11,6634,62,20272,26,17637,84,14721,34,23954,32,15101,29,26078,36,29784,45,17506,41,44344,46,12515,39,19124,47,23139,43,31939,75,22889,50,48717,18,55299,110,54730,115,79956,129
Pio IX (PI),5814,28,3904,20,3432,28,9383,17,6210,16,8093,24,11967,23,9903,24,24529,33,16345,42,10887,39,29409,36,6054,16,2440,12,5737,7,19673,8,4980,-,13242,-,29146,-,37640,-,77738,-
Alto Médio Canindé (PI),20070,68,10220,49,9667,50,27134,71,26343,80,25102,89,42527,97,22439,94,53368,143,59246,138,25959,136,66579,148,22349,82,13803,190,14185,159,46930,176,45649,109,41290,62,76667,165,83428,254,171116,201
Litoral de Camocim e Acaraú (CE),15555,94,16049,151,24226,278,38182,238,35482,215,27411,376,33816,486,35012,561,49881,559,31310,524,39759,451,73069,764,65764,1082,43891,927,67951,1532,73209,1367,83246,1380,100684,978,101525,722,66783,1014,98614,1101
Ibiapaba (CE),53838,141,49013,262,60799,482,91247,733,106304,981,101631,1757,99567,1626,130004,1931,160257,2826,146612,3292,162564,5049,197391,5492,162511,7954,314478,11589,231144,19653,167850,11064,259673,25397,314247,37570,420330,72904,550650,93525,663925,107076
Coreaú (CE),3283,-,3220,-,3288,11,5774,16,4368,19,4153,44,4866,28,4603,50,6622,97,4958,113,5559,180,10024,182,7679,336,7760,539,6467,63,3193,64,5053,17,5871,28,7198,16,7061,25,8422,43
Meruoca (CE),1464,-,1416,-,2216,-,4367,-,3543,-,3362,-,3198,-,3207,-,3164,-,2448,-,2370,-,5132,-,3578,-,2857,-,648,-,956,-,1781,-,2148,-,2486,-,2489,-,3365,9
Sobral (CE),9902,31,10978,45,18858,42,34258,-,26092,-,26541,-,34187,-,33342,-,43518,-,24798,-,17538,-,55844,-,27925,-,14888,-,15356,-,13283,47,22290,37,27362,137,33505,108,29739,128,40015,136
Ipu (CE),16885,58,15214,107,17132,243,27584,337,24748,340,26361,589,25441,619,24826,770,32782,1067,23469,1181,26110,1627,47296,2033,30197,3024,39768,4289,23341,1244,15625,1107,22869,2579,49931,5843,46401,8600,35189,6301,61666,7702
Santa Quitéria (CE),8031,5,2283,8,11490,-,15601,-,11244,31,10219,52,25416,116,6940,136,26640,147,11509,165,19538,261,43914,345,14933,622,5202,161,15658,800,11013,602,19089,352,26999,657,16727,333,41251,762,41220,610
Itapipoca (CE),11291,43,11053,57,14042,115,22684,200,27404,261,22144,290,26593,389,17173,461,37788,444,17800,394,23704,221,56659,589,53127,734,37772,642,25137,270,32278,535,33252,702,41156,697,45277,507,23057,292,26080,683
Baixo Curu (CE),18756,7,19352,6,18585,8,20201,12,21284,11,25941,11,33002,13,33508,14,31608,6,29241,18,28278,19,43150,31,35939,15,15778,85,38524,53,28195,61,17030,65,21466,132,13892,152,10586,1014,17527,1350
Uruburetama (CE),2405,-,1559,-,2600,-,3478,35,3606,42,3909,49,5632,17,3513,25,7959,28,3436,31,3317,29,14270,72,5978,111,5869,117,5910,225,6488,208,12460,81,19045,145,20602,202,21459,469,29971,657
Médio Curu (CE),3107,-,1379,-,4146,-,3099,-,1832,-,3153,-,4972,-,3815,-,7742,-,4943,-,2787,-,14687,-,3902,-,2591,-,4815,26,3001,31,4560,92,15078,322,10957,307,12089,371,21614,466
Canindé (CE),9818,9,3125,9,15915,11,23897,20,20150,59,10005,84,28324,139,19543,160,56111,181,20123,260,19828,322,59031,457,16776,857,48500,234,18871,476,12186,319,12365,90,29278,432,28018,432,42408,517,50490,889
Baturité (CE),14349,-,9681,-,17747,-,30709,-,22711,-,26167,-,39693,-,38478,-,48640,-,32336,-,33384,-,64798,-,25655,-,33589,-,42628,-,25847,-,37644,-,50803,-,45964,-,51433,-,84917,-
Chorozinho (CE),5502,-,3846,-,6406,-,9179,-,9314,-,9158,-,8101,-,6865,-,13013,-,6049,-,5262,-,11799,-,6855,-,6234,-,8762,-,4879,-,5587,-,8231,-,10622,-,10306,-,22781,-
Cascavel (CE),3788,87,4816,116,4695,145,6935,241,8913,272,11186,273,11293,249,12354,364,18567,601,13811,676,16982,568,16618,675,13598,788,20836,657,18141,1068,8924,364,10184,748,11382,626,9632,427,13554,1041,19358,1626
Fortaleza (CE),7565,214,9003,143,9105,-,9359,-,11288,25,9886,25,13727,23,15310,35,16709,155,14372,134,21104,132,22116,154,14643,237,8221,103,14106,208,9847,735,10692,277,19610,1112,11987,448,12633,365,18890,515
Pacajus (CE),1610,-,4027,-,4486,-,11395,2,7805,9,6389,12,6906,15,8952,15,9406,7,8157,9,9061,10,8972,19,13367,41,6514,25,4827,37,4283,87,4935,74,9500,166,5002,120,3361,165,8037,169
Sertão de Cratéus (CE),32519,-,30976,-,48797,-,57506,-,29362,-,26961,-,53671,-,17951,-,62980,-,26687,-,5044,-,124056,-,11940,-,8378,-,65450,-,33478,-,53386,-,69824,-,69892,-,95553,-,104214,-
Sertão de Quixeramobim (CE),27113,6,8096,6,46985,11,57149,16,29029,41,27339,58,41950,83,23017,97,68617,108,28622,134,25051,186,97521,246,13905,460,15492,100,23412,294,15360,184,17106,194,52912,445,34347,631,48877,963,58167,1299
Sertão de Inhamuns (CE),12579,-,9971,-,22165,-,32499,-,17142,-,23238,-,29959,-,16623,-,58877,-,24639,-,12625,-,60795,-,7164,-,7070,-,19642,-,13685,-,19760,-,18054,-,25284,-,24762,-,57719,-
Sertão de Senador Pompeu (CE),24973,-,9632,-,44420,-,39422,-,34274,-,25786,-,40190,-,27984,-,88789,-,30857,-,29258,-,87654,-,13192,-,24510,-,28433,-,17125,21,29116,36,22561,52,30782,112,43713,227,79133,504
Litoral de Aracati (CE),7429,-,11669,-,20079,7,22245,8,23210,12,35102,17,54688,17,58339,29,61777,47,59214,47,91368,36,97045,46,144070,27,136888,-,131324,-,63770,-,44635,65,47001,54,42300,230,46230,210,46260,269
Baixo Jaguaribe (CE),37912,31,35917,20,62205,16,70863,12,116819,11,137638,-,192504,-,233345,-,302193,-,123608,-,103264,-,152998,-,119473,-,159878,-,156292,-,105868,486,130269,322,72169,969,103694,1042,93746,971,138113,1222
Médio Jaguaribe (CE),7538,20,3061,18,8053,16,9953,13,6428,19,4140,23,10523,13,5650,14,13110,13,10108,9,4282,7,15053,18,3821,12,2749,10,4533,13,2876,73,6832,152,3773,668,3760,546,7694,369,13888,330
Serra do Pereiro (CE),7683,-,904,-,4358,-,5627,-,4707,-,1917,-,5529,-,2692,-,7180,-,5085,-,817,-,8268,-,1175,-,648,-,3455,-,750,-,4174,-,5200,-,8934,-,10284,36,21981,53
Iguatu (CE),23569,-,15073,-,27558,-,39043,-,33659,-,23781,-,31572,-,25841,-,29404,-,26437,-,25980,-,41409,-,24466,-,14056,-,34834,-,7470,66,14352,218,14224,360,20975,519,25328,519,50554,679
Várzea Alegre (CE),8218,-,4374,-,8570,-,19211,-,11696,-,5485,-,15120,-,7242,-,21701,-,15620,-,10395,-,26508,-,10768,-,6825,-,24731,-,8004,-,9741,-,16793,-,21182,250,13226,263,33414,270
Lavras da Mangabeira (CE),6780,-,1045,-,7840,-,10106,-,3933,-,3008,-,9890,-,4746,-,8904,-,8035,-,2593,-,9652,-,4509,-,2925,-,5681,-,1513,97,3108,153,6295,96,10051,70,10415,240,14937,-
Chapada do Araripe (CE),9676,1,8978,2,18383,-,42002,-,21963,-,18308,-,28642,-,23130,-,52282,-,43145,-,24783,-,50042,-,13075,-,33224,-,71894,-,34333,-,38546,-,80617,-,40532,-,40079,42,84221,41
Caririaçu (CE),4385,-,1668,-,7048,-,12924,-,7829,-,3853,-,9586,-,6107,-,18767,-,16265,-,4756,-,17536,-,7766,-,6471,-,27773,-,7564,-,7069,-,23384,-,15603,-,16834,40,28887,33
Barro (CE),22185,-,7827,-,27374,-,36217,-,18859,-,10589,-,37793,-,34893,-,54222,-,52811,-,14530,-,54240,-,16842,-,10274,-,15093,74,5575,58,10759,1492,23372,2276,45034,2612,31285,4783,53342,4303
Cariri (CE),23683,16,15278,20,26968,23,40133,48,26449,52,21162,56,39770,100,29874,122,49039,159,53040,180,35578,135,70774,194,30270,234,39371,341,73278,488,32970,417,34085,156,53653,111,44092,130,48711,159,74276,161
Brejo Santo (CE),23674,-,6157,-,17181,-,35730,-,8569,-,6872,-,23067,-,15386,-,29824,-,29576,-,14971,-,51805,-,14723,-,16409,-,33367,262,10022,333,13882,634,27543,1187,32803,1086,23223,348,52751,362
Mossoró (RN),27961,-,37004,-,125150,-,154763,-,157934,-,105902,103,166147,22,138050,16,70610,13,143964,13,225580,27,228949,27,276434,12,315560,128,243235,14,249678,-,267129,13,272024,-,448290,-,500672,-,513266,63
Chapada do Apodi (RN),9540,22,5571,-,8996,-,16622,-,16517,-,10291,15,12022,13,11582,15,13530,22,28177,23,9119,21,20198,29,5355,62,14328,78,12139,67,12615,71,61987,189,70038,240,62830,525,63676,663,65481,693
Médio Oeste (RN),2445,4,4003,-,7191,-,9015,-,11581,-,10004,45,4429,45,4347,43,5266,47,4013,29,1798,21,3138,27,3530,14,1961,29,2056,38,1907,14,6058,4,7736,-,8330,250,5115,314,6269,385
Vale do Açu (RN),9027,136,7749,130,9377,181,11150,192,10196,233,8811,279,7267,149,6045,156,4300,171,6085,331,4717,480,7426,223,2691,-,3866,18,4563,43,3809,96,19334,144,9383,78,10595,509,13699,561,14189,1060
Serra de São Miguel (RN),2352,46,427,46,3873,65,4853,50,7167,54,4165,66,5460,76,3850,99,10178,151,6890,158,5703,78,7117,146,3002,159,1920,192,9155,265,1761,53,1522,101,4162,214,11759,228,5264,215,7454,319
Pau dos Ferros (RN),4660,75,1081,76,8497,99,8345,61,9095,88,5226,135,8179,132,6813,215,15649,345,11512,348,4524,247,9189,345,2866,453,2925,284,9283,539,2243,58,1021,49,4514,64,9115,132,6801,168,12125,202
Umarizal (RN),3663,42,908,38,5085,44,5490,54,5609,82,4159,116,5885,182,4911,95,8294,127,6315,151,2053,83,5805,224,2324,312,2912,301,4960,224,1736,154,1899,27,1671,18,7165,273,6747,411,8077,388
Macau (RN),962,5,495,17,1308,59,2112,256,2544,252,1636,122,1747,98,1293,96,3840,96,3886,96,7020,48,8350,36,11375,394,10349,310,13046,270,13277,180,11160,-,11699,33,17273,176,13401,290,11008,275
Angicos (RN),1127,-,262,-,894,-,3564,-,3441,-,2029,-,2577,-,2705,-,1339,-,1704,-,616,-,3398,-,1976,-,1773,-,2281,-,2757,-,5988,-,5790,-,12164,-,6958,-,10030,-
Serra de Santana (RN),6753,21,2752,6,9419,94,13845,247,18893,175,6258,202,11566,209,8175,91,10062,84,13428,166,9501,401,12033,145,9314,-,7617,6,5280,6,7686,10,10836,8,13938,12,15896,32,21059,244,24460,1570
Seridó Ocidental (RN),846,22,687,471,2502,529,1077,332,1622,870,3972,3043,3150,987,1607,669,2894,1251,1734,298,2117,476,4697,722,1168,174,2870,416,984,486,478,240,2120,776,995,-,2144,75,3265,1195,1776,505
Seridó Oriental (RN),3069,-,519,-,3229,148,982,132,3488,500,2194,701,4756,450,1731,120,3406,480,4705,450,3888,1838,4403,732,1209,45,1438,58,3283,38,2169,13,2059,12,2149,-,4605,30,9306,158,4790,27
Baixa Verde (RN),4298,-,4207,-,6481,-,7632,130,13064,148,13330,98,13602,353,15299,429,13563,525,10251,525,4093,81,6399,168,1360,-,6033,134,3877,72,5475,1649,8639,4670,8821,3469,12182,5734,12491,5560,20968,12150
Borborema Potiguar (RN),7643,15,3516,23,6959,32,10390,12,16474,15,9318,151,4361,57,5050,63,17682,83,7852,187,3102,127,12096,146,587,-,1836,-,286,13,609,26,1475,99,1358,99,4891,103,9818,177,17153,264
Agreste Potiguar (RN),19195,321,18811,1084,34863,1383,65626,1495,82774,2335,69329,2360,57759,2353,73165,2621,86642,2988,75585,3702,54277,3037,72994,5158,89928,4762,60976,3028,76859,3415,47740,5167,65253,1649,52731,7513,76957,4207,84345,7815,126295,11573
Litoral Nordeste (RN),18242,271,11646,620,28090,188,50599,513,53635,546,57105,616,79085,1019,74274,727,77285,836,105593,838,82159,838,126835,2147,128285,5359,164645,310,115375,3441,107598,9667,110737,13845,176286,28238,128946,18353,151561,24654,201499,33692
Macaíba (RN),15304,858,14318,1255,20068,1301,36787,2567,35267,4193,42281,595,52250,886,49061,757,53744,769,69441,653,58492,1067,63921,2309,68211,4903,49635,3992,46723,3547,55663,2956,71366,2711,65126,6690,64720,4635,93093,9662,100018,12857
Natal (RN),798,130,846,180,836,68,1504,197,1607,260,2116,184,2859,199,2238,-,2786,-,2639,-,2810,-,3707,-,3916,-,3503,86,1132,28,1140,31,760,144,563,117,560,196,545,208,706,286
Litoral Sul (RN),32012,170,30897,119,57314,141,59886,150,61087,260,86479,13,114167,231,77689,768,96744,1001,121553,1082,115822,817,159769,1334,201333,1459,195716,834,199083,1082,226712,866,249071,622,282839,3357,274045,2173,308086,3623,418350,4935
Catolé do Rocha (PB),4306,97,1049,84,4747,137,5832,149,5496,162,2622,191,6924,236,6072,271,6024,263,4764,268,3543,240,4977,446,3627,-,24,-,2968,618,331,41,642,58,1492,392,4403,288,3710,188,6041,214
Cajazeiras (PB),8660,3,1002,3,12385,6,13005,6,10858,27,4947,53,12551,83,3055,64,7625,150,6220,143,985,145,11532,306,750,204,1337,305,3220,357,1875,564,3997,914,4957,665,9256,687,6751,439,14596,963
Sousa (PB),9065,91,2162,88,9408,126,10096,132,13973,154,4150,187,10332,224,6056,244,7743,236,6950,248,2467,301,14033,429,1467,50,812,-,4374,731,2602,760,2413,513,3546,835,7418,1018,8622,1091,18248,1359
Patos (PB),1149,98,150,40,2474,171,2822,235,1550,348,1264,434,4603,537,2492,568,3391,749,3110,698,1581,331,4115,910,526,234,136,40,3249,542,1479,667,3018,1166,2862,829,3907,732,4528,762,6907,774
Piancó (PB),4022,131,326,86,6922,295,10033,400,6477,853,5168,1143,13151,1194,4674,839,11597,743,7890,1390,2021,487,6252,878,392,167,252,146,2605,479,1691,906,1946,1083,2293,894,4919,727,4443,341,8635,406
Itaporanga (PB),8320,53,965,38,11958,118,20185,120,10942,117,9494,192,25010,244,8062,297,31030,426,13883,354,3647,377,15558,1182,1739,899,3357,2288,5091,2343,5001,4004,6288,4552,7745,4198,11982,4484,7931,2478,15420,4152
Serra do Teixeira (PB),13370,100,3222,75,19137,231,30991,472,17827,1289,16669,775,35912,1156,16062,1103,25201,2020,23612,1761,5447,834,14795,1546,2565,474,1627,189,12987,644,3778,775,13058,1544,9469,866,18846,807,20335,865,37020,1099
Seridó Ocidental Paraibano (PB),793,42,207,12,2266,116,457,-,842,280,1491,498,2702,454,1601,221,1519,671,2448,336,684,363,1699,408,322,-,69,-,487,124,188,23,626,133,234,66,1570,221,2262,267,2805,338
Seridó Oriental Paraibano (PB),5866,314,731,49,6800,120,4758,136,3376,258,3890,280,10839,482,6981,423,10141,498,6996,414,1782,312,6334,805,637,65,713,96,1090,116,730,200,1348,213,1686,198,5895,294,3177,328,12761,436
Cariri Ocidental (PB),6287,81,1290,148,5354,156,5588,105,4553,577,12520,1102,17476,897,8679,874,21382,1103,18307,898,5901,737,11208,839,3771,258,3679,611,4218,447,5343,934,4951,614,12273,567,22199,749,12403,619,25029,789
Cariri Oriental (PB),2428,92,924,62,1527,59,5033,84,4343,204,6247,303,6585,410,4173,238,14885,461,15803,530,5465,666,10329,750,9767,578,7737,670,8508,626,4451,860,6052,1103,2593,407,7291,802,8080,573,13585,865
Curimataú Ocidental (PB),13845,309,1650,127,3286,116,10889,304,12456,332,12198,411,13463,420,16140,316,23089,446,9087,431,3434,469,12619,896,1705,149,10469,624,3884,256,3979,519,4454,507,7901,665,9908,960,6007,526,14515,824
Curimataú Oriental (PB),12597,42,2021,96,7171,71,22332,117,22230,211,17054,282,16007,170,23499,183,28109,265,9362,234,6057,276,15441,510,5422,287,17362,678,4876,434,6954,674,11943,505,20499,788,17190,1064,12016,735,16492,985
Esperança (PB),7657,560,2795,355,4529,454,8632,541,10183,793,9240,1210,12497,822,11334,1120,13308,792,6429,1200,4771,1578,9218,1816,3073,1010,7147,2648,5576,1620,5491,1635,4657,1186,9976,2158,6877,2280,4836,2311,12094,2876
Brejo Paraibano (PB),15649,1379,9092,870,13774,1322,26538,3164,25498,3144,22909,3235,25929,2156,26455,2283,31617,3701,24708,4092,21068,4358,32977,4116,22694,3540,33802,5331,33747,4322,29209,4419,34984,4792,40763,3022,32070,4323,31636,3942,45510,4781
Guarabira (PB),9669,542,16307,824,21882,842,29538,1123,38789,1302,41658,1020,38804,570,38308,620,44579,1171,47682,861,66965,446,75140,912,100358,536,114916,1784,103895,1163,114785,1655,106291,1690,158800,2768,98645,3644,100333,2839,124245,3228
Campina Grande (PB),11513,488,3320,305,12077,387,17770,621,18701,722,18031,784,23651,906,17217,810,33418,1210,29752,1260,24268,2444,21619,1452,9579,1698,26865,1924,20516,2847,13256,2606,9563,1630,18383,1766,20719,4260,15185,3581,26045,4126
Itabaiana (PB),6534,427,3185,177,4488,100,14216,374,13739,475,9700,381,10638,266,13555,479,19746,543,12632,351,13790,635,13303,1129,5699,382,23090,947,12318,716,16781,935,11717,502,20694,859,14268,701,9939,804,22596,977
